股票,申万一级行业
600000.SH,138.000000
600001.SH,157.000000
600003.SH,9.000000
600004.SH,9.000000
600005.SH,157.000000
600006.SH,7.000000
600007.SH,59.000000
600008.SH,20.000000
600009.SH,9.000000
600010.SH,157.000000
600011.SH,20.000000
600012.SH,9.000000
600015.SH,138.000000
600016.SH,138.000000
600017.SH,9.000000
600018.SH,9.000000
600019.SH,157.000000
600020.SH,9.000000
600021.SH,20.000000
600022.SH,157.000000
600026.SH,9.000000
600027.SH,20.000000
600028.SH,37.000000
600029.SH,9.000000
600030.SH,138.000000
600031.SH,73.000000
600033.SH,9.000000
600035.SH,9.000000
600036.SH,138.000000
600037.SH,14.000000
600038.SH,7.000000
600039.SH,56.000000
600048.SH,59.000000
600050.SH,14.000000
600051.SH,109.000000
600052.SH,59.000000
600053.SH,125.000000
600054.SH,151.000000
600055.SH,42.000000
600056.SH,45.000000
600057.SH,15.000000
600058.SH,45.000000
600059.SH,149.000000
600060.SH,53.000000
600061.SH,37.000000
600062.SH,42.000000
600063.SH,37.000000
600064.SH,59.000000
600066.SH,7.000000
600067.SH,109.000000
600068.SH,56.000000
600069.SH,125.000000
600070.SH,108.000000
600071.SH,73.000000
600072.SH,7.000000
600073.SH,149.000000
600074.SH,37.000000
600075.SH,37.000000
600076.SH,15.000000
600077.SH,9.000000
600078.SH,37.000000
600079.SH,42.000000
600080.SH,42.000000
600081.SH,7.000000
600082.SH,59.000000
600083.SH,94.000000
600084.SH,149.000000
600085.SH,42.000000
600086.SH,125.000000
600087.SH,9.000000
600088.SH,14.000000
600089.SH,73.000000
600090.SH,149.000000
600091.SH,37.000000
600093.SH,30.000000
600094.SH,37.000000
600095.SH,109.000000
600096.SH,37.000000
600097.SH,73.000000
600098.SH,20.000000
600099.SH,7.000000
600100.SH,15.000000
600101.SH,20.000000
600102.SH,157.000000
600103.SH,125.000000
600104.SH,7.000000
600105.SH,15.000000
600106.SH,9.000000
600107.SH,108.000000
600108.SH,30.000000
600109.SH,138.000000
600110.SH,67.000000
600111.SH,67.000000
600112.SH,73.000000
600113.SH,109.000000
600114.SH,73.000000
600115.SH,9.000000
600116.SH,20.000000
600117.SH,157.000000
600118.SH,7.000000
600119.SH,109.000000
600120.SH,45.000000
600121.SH,133.000000
600122.SH,45.000000
600123.SH,133.000000
600125.SH,9.000000
600126.SH,157.000000
600127.SH,30.000000
600128.SH,45.000000
600129.SH,42.000000
600130.SH,15.000000
600131.SH,20.000000
600132.SH,149.000000
600133.SH,109.000000
600135.SH,125.000000
600136.SH,59.000000
600137.SH,108.000000
600138.SH,151.000000
600139.SH,67.000000
600141.SH,37.000000
600143.SH,37.000000
600145.SH,56.000000
600146.SH,37.000000
600148.SH,7.000000
600149.SH,15.000000
600150.SH,7.000000
600151.SH,109.000000
600152.SH,108.000000
600153.SH,45.000000
600155.SH,37.000000
600156.SH,108.000000
600157.SH,59.000000
600158.SH,109.000000
600159.SH,59.000000
600160.SH,37.000000
600161.SH,42.000000
600162.SH,45.000000
600163.SH,125.000000
600165.SH,157.000000
600166.SH,7.000000
600167.SH,20.000000
600168.SH,20.000000
600169.SH,73.000000
600170.SH,56.000000
600171.SH,94.000000
600172.SH,73.000000
600173.SH,56.000000
600175.SH,59.000000
600176.SH,37.000000
600177.SH,108.000000
600178.SH,73.000000
600179.SH,133.000000
600180.SH,30.000000
600182.SH,37.000000
600183.SH,94.000000
600184.SH,56.000000
600185.SH,15.000000
600186.SH,149.000000
600188.SH,133.000000
600189.SH,30.000000
600190.SH,9.000000
600191.SH,149.000000
600192.SH,73.000000
600193.SH,109.000000
600195.SH,42.000000
600196.SH,42.000000
600197.SH,149.000000
600198.SH,15.000000
600199.SH,149.000000
600200.SH,42.000000
600201.SH,42.000000
600202.SH,73.000000
600203.SH,94.000000
600206.SH,94.000000
600207.SH,94.000000
600208.SH,59.000000
600209.SH,109.000000
600210.SH,125.000000
600211.SH,42.000000
600212.SH,109.000000
600213.SH,7.000000
600215.SH,59.000000
600216.SH,42.000000
600217.SH,56.000000
600218.SH,73.000000
600219.SH,67.000000
600220.SH,108.000000
600221.SH,9.000000
600222.SH,42.000000
600223.SH,42.000000
600226.SH,42.000000
600227.SH,37.000000
600228.SH,37.000000
600229.SH,37.000000
600230.SH,37.000000
600231.SH,157.000000
600232.SH,108.000000
600233.SH,108.000000
600234.SH,45.000000
600235.SH,125.000000
600236.SH,20.000000
600237.SH,94.000000
600238.SH,149.000000
600239.SH,59.000000
600240.SH,59.000000
600241.SH,45.000000
600243.SH,73.000000
600246.SH,59.000000
600247.SH,59.000000
600249.SH,37.000000
600250.SH,45.000000
600251.SH,30.000000
600252.SH,42.000000
600253.SH,42.000000
600255.SH,67.000000
600256.SH,37.000000
600257.SH,30.000000
600258.SH,151.000000
600260.SH,37.000000
600261.SH,94.000000
600262.SH,73.000000
600263.SH,56.000000
600265.SH,30.000000
600266.SH,59.000000
600267.SH,42.000000
600268.SH,73.000000
600269.SH,9.000000
600270.SH,9.000000
600271.SH,14.000000
600272.SH,108.000000
600273.SH,108.000000
600275.SH,30.000000
600276.SH,42.000000
600277.SH,42.000000
600278.SH,45.000000
600279.SH,9.000000
600280.SH,45.000000
600281.SH,37.000000
600282.SH,157.000000
600283.SH,20.000000
600284.SH,56.000000
600285.SH,42.000000
600287.SH,45.000000
600288.SH,94.000000
600289.SH,14.000000
600290.SH,73.000000
600291.SH,56.000000
600292.SH,20.000000
600293.SH,56.000000
600295.SH,108.000000
600297.SH,42.000000
600298.SH,149.000000
600299.SH,37.000000
600300.SH,149.000000
600301.SH,37.000000
600302.SH,73.000000
600303.SH,7.000000
600305.SH,149.000000
600306.SH,45.000000
600307.SH,157.000000
600308.SH,125.000000
600309.SH,37.000000
600310.SH,20.000000
600311.SH,30.000000
600312.SH,73.000000
600313.SH,30.000000
600315.SH,37.000000
600316.SH,7.000000
600317.SH,9.000000
600318.SH,56.000000
600319.SH,37.000000
600320.SH,73.000000
600321.SH,56.000000
600322.SH,59.000000
600323.SH,20.000000
600325.SH,59.000000
600326.SH,56.000000
600327.SH,45.000000
600328.SH,37.000000
600329.SH,42.000000
600330.SH,67.000000
600331.SH,67.000000
600332.SH,42.000000
600333.SH,20.000000
600335.SH,73.000000
600336.SH,53.000000
600337.SH,125.000000
600338.SH,67.000000
600339.SH,37.000000
600340.SH,73.000000
600343.SH,73.000000
600345.SH,15.000000
600346.SH,73.000000
600348.SH,133.000000
600350.SH,9.000000
600351.SH,42.000000
600352.SH,37.000000
600353.SH,73.000000
600354.SH,30.000000
600355.SH,15.000000
600356.SH,125.000000
600357.SH,157.000000
600358.SH,151.000000
600359.SH,30.000000
600360.SH,94.000000
600361.SH,45.000000
600362.SH,67.000000
600363.SH,94.000000
600365.SH,149.000000
600366.SH,67.000000
600367.SH,37.000000
600368.SH,9.000000
600369.SH,138.000000
600370.SH,108.000000
600371.SH,30.000000
600372.SH,7.000000
600373.SH,7.000000
600375.SH,73.000000
600376.SH,59.000000
600377.SH,9.000000
600378.SH,37.000000
600379.SH,73.000000
600380.SH,42.000000
600381.SH,59.000000
600382.SH,73.000000
600383.SH,59.000000
600385.SH,42.000000
600386.SH,14.000000
600387.SH,37.000000
600388.SH,20.000000
600389.SH,37.000000
600390.SH,67.000000
600391.SH,7.000000
600392.SH,14.000000
600393.SH,59.000000
600395.SH,133.000000
600396.SH,20.000000
600397.SH,133.000000
600398.SH,108.000000
600399.SH,157.000000
600400.SH,108.000000
600401.SH,125.000000
600403.SH,14.000000
600405.SH,15.000000
600406.SH,73.000000
600408.SH,133.000000
600409.SH,37.000000
600410.SH,14.000000
600415.SH,45.000000
600416.SH,73.000000
600418.SH,7.000000
600419.SH,125.000000
600420.SH,42.000000
600421.SH,42.000000
600422.SH,42.000000
600423.SH,37.000000
600425.SH,56.000000
600426.SH,37.000000
600428.SH,9.000000
600429.SH,149.000000
600432.SH,67.000000
600433.SH,125.000000
600435.SH,73.000000
600436.SH,42.000000
600438.SH,30.000000
600439.SH,125.000000
600444.SH,37.000000
600446.SH,14.000000
600448.SH,108.000000
600449.SH,56.000000
600452.SH,20.000000
600455.SH,14.000000
600456.SH,67.000000
600458.SH,67.000000
600459.SH,67.000000
600460.SH,94.000000
600461.SH,20.000000
600462.SH,125.000000
600463.SH,59.000000
600466.SH,42.000000
600467.SH,30.000000
600468.SH,73.000000
600469.SH,37.000000
600470.SH,37.000000
600475.SH,73.000000
600476.SH,14.000000
600477.SH,56.000000
600478.SH,67.000000
600479.SH,42.000000
600480.SH,7.000000
600481.SH,73.000000
600482.SH,7.000000
600483.SH,108.000000
600485.SH,14.000000
600486.SH,37.000000
600487.SH,15.000000
600488.SH,42.000000
600489.SH,67.000000
600490.SH,42.000000
600491.SH,56.000000
600493.SH,108.000000
600495.SH,7.000000
600496.SH,56.000000
600497.SH,67.000000
600498.SH,15.000000
600499.SH,73.000000
600500.SH,45.000000
600501.SH,15.000000
600502.SH,56.000000
600503.SH,14.000000
600505.SH,20.000000
600506.SH,30.000000
600507.SH,157.000000
600508.SH,133.000000
600509.SH,20.000000
600510.SH,108.000000
600511.SH,42.000000
600512.SH,56.000000
600513.SH,42.000000
600515.SH,45.000000
600516.SH,67.000000
600517.SH,73.000000
600518.SH,42.000000
600519.SH,149.000000
600520.SH,73.000000
600521.SH,42.000000
600522.SH,15.000000
600523.SH,7.000000
600525.SH,67.000000
600526.SH,20.000000
600527.SH,37.000000
600528.SH,56.000000
600529.SH,42.000000
600530.SH,42.000000
600531.SH,67.000000
600532.SH,37.000000
600533.SH,59.000000
600535.SH,42.000000
600536.SH,14.000000
600537.SH,30.000000
600538.SH,42.000000
600539.SH,56.000000
600540.SH,30.000000
600543.SH,149.000000
600545.SH,56.000000
600546.SH,56.000000
600547.SH,67.000000
600548.SH,9.000000
600549.SH,67.000000
600550.SH,73.000000
600551.SH,109.000000
600552.SH,56.000000
600553.SH,56.000000
600555.SH,151.000000
600556.SH,42.000000
600557.SH,42.000000
600558.SH,157.000000
600559.SH,30.000000
600560.SH,73.000000
600561.SH,9.000000
600562.SH,56.000000
600563.SH,94.000000
600565.SH,7.000000
600566.SH,73.000000
600567.SH,125.000000
600568.SH,42.000000
600569.SH,157.000000
600570.SH,14.000000
600571.SH,14.000000
600572.SH,42.000000
600573.SH,149.000000
600575.SH,9.000000
600576.SH,151.000000
600577.SH,73.000000
600578.SH,20.000000
600579.SH,37.000000
600580.SH,73.000000
600581.SH,157.000000
600582.SH,73.000000
600583.SH,56.000000
600584.SH,94.000000
600585.SH,56.000000
600586.SH,56.000000
600587.SH,42.000000
600588.SH,14.000000
600589.SH,37.000000
600590.SH,15.000000
600591.SH,9.000000
600592.SH,73.000000
600593.SH,151.000000
600594.SH,42.000000
600595.SH,67.000000
600596.SH,37.000000
600597.SH,149.000000
600598.SH,30.000000
600599.SH,125.000000
600600.SH,149.000000
600601.SH,15.000000
600602.SH,94.000000
600603.SH,59.000000
600604.SH,73.000000
600605.SH,45.000000
600606.SH,59.000000
600607.SH,42.000000
600608.SH,109.000000
600609.SH,7.000000
600610.SH,73.000000
600611.SH,9.000000
600612.SH,125.000000
600613.SH,42.000000
600614.SH,59.000000
600615.SH,59.000000
600616.SH,149.000000
600617.SH,37.000000
600618.SH,37.000000
600619.SH,53.000000
600620.SH,109.000000
600621.SH,94.000000
600622.SH,109.000000
600623.SH,37.000000
600624.SH,109.000000
600626.SH,108.000000
600627.SH,73.000000
600628.SH,45.000000
600629.SH,56.000000
600630.SH,108.000000
600631.SH,45.000000
600633.SH,37.000000
600634.SH,59.000000
600635.SH,20.000000
600636.SH,37.000000
600637.SH,53.000000
600638.SH,59.000000
600639.SH,59.000000
600640.SH,14.000000
600641.SH,59.000000
600642.SH,20.000000
600643.SH,138.000000
600644.SH,20.000000
600645.SH,42.000000
600647.SH,109.000000
600648.SH,59.000000
600649.SH,20.000000
600650.SH,9.000000
600651.SH,94.000000
600652.SH,109.000000
600653.SH,7.000000
600654.SH,94.000000
600655.SH,45.000000
600657.SH,14.000000
600658.SH,15.000000
600660.SH,7.000000
600661.SH,109.000000
600662.SH,9.000000
600663.SH,59.000000
600664.SH,42.000000
600665.SH,59.000000
600666.SH,42.000000
600667.SH,37.000000
600668.SH,56.000000
600671.SH,42.000000
600673.SH,157.000000
600674.SH,20.000000
600675.SH,59.000000
600676.SH,9.000000
600677.SH,7.000000
600678.SH,56.000000
600679.SH,59.000000
600680.SH,15.000000
600681.SH,125.000000
600682.SH,45.000000
600683.SH,45.000000
600684.SH,59.000000
600685.SH,7.000000
600686.SH,7.000000
600687.SH,14.000000
600688.SH,37.000000
600689.SH,108.000000
600690.SH,53.000000
600691.SH,109.000000
600692.SH,9.000000
600693.SH,45.000000
600694.SH,45.000000
600695.SH,30.000000
600696.SH,59.000000
600697.SH,45.000000
600698.SH,7.000000
600699.SH,37.000000
600701.SH,109.000000
600702.SH,149.000000
600704.SH,45.000000
600706.SH,42.000000
600707.SH,94.000000
600708.SH,9.000000
600710.SH,73.000000
600711.SH,15.000000
600712.SH,45.000000
600713.SH,42.000000
600714.SH,37.000000
600715.SH,7.000000
600716.SH,56.000000
600717.SH,9.000000
600718.SH,14.000000
600719.SH,20.000000
600720.SH,56.000000
600721.SH,45.000000
600722.SH,37.000000
600723.SH,45.000000
600724.SH,109.000000
600725.SH,37.000000
600726.SH,20.000000
600727.SH,37.000000
600728.SH,14.000000
600729.SH,45.000000
600730.SH,109.000000
600731.SH,37.000000
600732.SH,59.000000
600733.SH,138.000000
600735.SH,149.000000
600736.SH,59.000000
600737.SH,30.000000
600738.SH,45.000000
600739.SH,138.000000
600740.SH,133.000000
600741.SH,9.000000
600742.SH,7.000000
600743.SH,108.000000
600744.SH,20.000000
600746.SH,37.000000
600747.SH,94.000000
600748.SH,59.000000
600749.SH,151.000000
600750.SH,42.000000
600751.SH,9.000000
600753.SH,59.000000
600754.SH,151.000000
600755.SH,45.000000
600756.SH,14.000000
600757.SH,108.000000
600758.SH,20.000000
600759.SH,59.000000
600760.SH,7.000000
600761.SH,73.000000
600763.SH,42.000000
600764.SH,14.000000
600765.SH,73.000000
600766.SH,59.000000
600767.SH,59.000000
600768.SH,67.000000
600769.SH,37.000000
600770.SH,14.000000
600771.SH,42.000000
600773.SH,42.000000
600774.SH,45.000000
600775.SH,15.000000
600776.SH,15.000000
600777.SH,109.000000
600778.SH,45.000000
600779.SH,149.000000
600780.SH,20.000000
600781.SH,42.000000
600782.SH,157.000000
600783.SH,109.000000
600784.SH,109.000000
600785.SH,45.000000
600786.SH,73.000000
600787.SH,9.000000
600789.SH,42.000000
600790.SH,45.000000
600791.SH,59.000000
600792.SH,37.000000
600793.SH,125.000000
600794.SH,9.000000
600795.SH,20.000000
600796.SH,42.000000
600797.SH,14.000000
600798.SH,9.000000
600800.SH,94.000000
600801.SH,56.000000
600802.SH,56.000000
600803.SH,42.000000
600804.SH,14.000000
600805.SH,109.000000
600806.SH,73.000000
600807.SH,59.000000
600808.SH,157.000000
600809.SH,149.000000
600810.SH,37.000000
600811.SH,109.000000
600812.SH,42.000000
600814.SH,45.000000
600815.SH,73.000000
600816.SH,138.000000
600817.SH,94.000000
600818.SH,7.000000
600819.SH,56.000000
600820.SH,56.000000
600821.SH,45.000000
600822.SH,45.000000
600823.SH,59.000000
600824.SH,45.000000
600825.SH,14.000000
600826.SH,45.000000
600827.SH,45.000000
600828.SH,45.000000
600829.SH,42.000000
600830.SH,45.000000
600831.SH,14.000000
600832.SH,14.000000
600833.SH,42.000000
600834.SH,9.000000
600835.SH,73.000000
600836.SH,125.000000
600837.SH,138.000000
600838.SH,45.000000
600839.SH,53.000000
600840.SH,59.000000
600841.SH,73.000000
600842.SH,42.000000
600843.SH,73.000000
600844.SH,125.000000
600845.SH,14.000000
600846.SH,109.000000
600847.SH,73.000000
600848.SH,73.000000
600849.SH,42.000000
600850.SH,15.000000
600851.SH,108.000000
600853.SH,56.000000
600854.SH,53.000000
600855.SH,15.000000
600856.SH,45.000000
600857.SH,14.000000
600858.SH,45.000000
600859.SH,45.000000
600860.SH,73.000000
600861.SH,45.000000
600862.SH,73.000000
600863.SH,20.000000
600864.SH,20.000000
600865.SH,45.000000
600866.SH,42.000000
600867.SH,42.000000
600868.SH,20.000000
600869.SH,42.000000
600870.SH,53.000000
600871.SH,37.000000
600872.SH,59.000000
600873.SH,73.000000
600874.SH,20.000000
600875.SH,73.000000
600876.SH,56.000000
600877.SH,7.000000
600879.SH,7.000000
600880.SH,14.000000
600881.SH,56.000000
600882.SH,37.000000
